CountryCode,Country.x,Country.y,CS_Rate2,Births_Per_1000,Country_Name,IncomeGroup,Region,X2006
ALB,Albania,Albania,0.256,46,Albania,Upper middle income,Europe & Central Asia,3051.76764
AND,Andorra,Andorra,0.237,1,Andorra,High income: nonOECD,Europe & Central Asia,42417.22915
ARE,United Arab Emerates,United Arab Emirates,0.1,63,United Arab Emirates,High income: nonOECD,Middle East & North Africa,42950.10058
ARG,Argentina,Argentina,0.352,689,Argentina,High income: nonOECD,Latin America & Caribbean,6649.413534
ARM,Armenia,Armenia,0.141,47,Armenia,Lower middle income,Europe & Central Asia,2126.618661
AUS,Australia,Australia,0.303,267,Australia,High income: OECD,East Asia & Pacific,36100.55852
AUT,Austria,Austria,0.271,76,Austria,High income: OECD,Europe & Central Asia,40430.99361
AZE,Azerbaijan,Azerbaijan,0.076,166,Azerbaijan,Upper middle income,Europe & Central Asia,2473.085776
BEL,Belgium,Belgium,0.159,119,Belgium,High income: OECD,Europe & Central Asia,38936.33091
BEN,Benin,Benin,0.036,342,Benin,Low income,Sub-Saharan Africa,557.2294112
BFA,Burkina Faso,Burkina Faso,0.007,721,Burkina Faso,Low income,Sub-Saharan Africa,422.479938
BGD,Bangladesh,Bangladesh,0.075,3430,Bangladesh,Lower middle income,South Asia,495.8537802
BGR,Bulgaria,Bulgaria,0.268,73,Bulgaria,Upper middle income,Europe & Central Asia,4370.639076
BHR,Bahrain,Bahrain,0.16,14,Bahrain,High income: nonOECD,Middle East & North Africa,19669.31955
BLR,Belarus,Belarus,0.205,96,Belarus,Upper middle income,Europe & Central Asia,3848.586203
BOL,Bolivia,Bolivia,0.186,263,Bolivia,Lower middle income,Latin America & Caribbean,1233.592974
BRA,Brazil,Brazil,0.459,3105,Brazil,Upper middle income,Latin America & Caribbean,5809.117874
CAF,Central African Republic,Central African Republic,0.019,154,Central African Republic,Low income,Sub-Saharan Africa,357.0830033
CAN,Canada,Canada,0.263,353,Canada,High income: OECD,North America,40243.55228
CHE,Switzerland,Switzerland,0.289,73,Switzerland,High income: OECD,Europe & Central Asia,57348.92444
CHL,Chile,Chile,0.307,251,Chile,High income: OECD,Latin America & Caribbean,9500.835162
CHN,China,China,0.259,18134,China,Upper middle income,East Asia & Pacific,2082.183363
CIV,Cote d'Ivoire,CÌ«te d'Ivoire,0.064,722,Cote d'Ivoire,Lower middle income,Sub-Saharan Africa,962.918425
CMR,Cameroon,Cameroon,0.02,704,Cameroon,Lower middle income,Sub-Saharan Africa,965.3686883
COG,Congo,"Congo, Rep.",0.04,2886,"Congo, Rep.",Lower middle income,Sub-Saharan Africa,2144.834943
COL,Colombia,Colombia,0.267,918,Colombia,Upper middle income,Latin America & Caribbean,3709.076914
COM,Comoros,Comoros,0.053,21,Comoros,Low income,Sub-Saharan Africa,640.743014
CPV,Cape Verde,Cabo Verde,0.107,12,Cabo Verde,Lower middle income,Sub-Saharan Africa,2316.478971
CRI,Costa Rica,Costa Rica,0.208,75,Costa Rica,Upper middle income,Latin America & Caribbean,5228.025413
CUB,Cuba,Cuba,0.356,118,Cuba,Upper middle income,Latin America & Caribbean,4677.709014
CZE,Czech Republic,Czech Republic,0.184,109,Czech Republic,High income: OECD,Europe & Central Asia,15159.14115
DEU,Germany,Germany,0.278,666,Germany,High income: OECD,Europe & Central Asia,36401.42251
DNK,Denmark,Denmark,0.214,62,Denmark,High income: OECD,Europe & Central Asia,52041.00297
DOM,Dominican Republic,Dominican Republic,0.419,224,Dominican Republic,Upper middle income,Latin America & Caribbean,3817.977914
DZA,Algeria,Algeria,0.06,714,Algeria,Upper middle income,Middle East & North Africa,3467.543945
ECU,Ecuador,Ecuador,0.298,281,Ecuador,Upper middle income,Latin America & Caribbean,3350.784142
EGY,Egypt,"Egypt, Arab Rep.",0.276,2015,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa,1409.177872
ERI,Eritrea,Eritrea,0.027,182,Eritrea,Low income,Sub-Saharan Africa,281.3750173
ESP,Spain,Spain,0.259,491,Spain,High income: OECD,Europe & Central Asia,28482.60948
EST,Estonia,Estonia,0.2,16,Estonia,High income: OECD,Europe & Central Asia,12591.95899
ETH,Ethiopia,Ethiopia,0.01,3093,Ethiopia,Low income,Sub-Saharan Africa,194.0779937
FIN,Finland,Finland,0.163,59,Finland,High income: OECD,Europe & Central Asia,41120.67651
FRA,France,France,0.188,752,France,High income: OECD,Europe & Central Asia,36544.50853
GAB,Gabon,Gabon,0.056,40,Gabon,Upper middle income,Sub-Saharan Africa,7206.968276
GBR,United Kingdom,United Kingdom,0.22,743,United Kingdom,High income: OECD,Europe & Central Asia,42446.79557
GEO,Georgia,Georgia,0.222,52,Georgia,Lower middle income,Europe & Central Asia,1761.1201
GHA,Ghana,Ghana,0.069,757,Ghana,Lower middle income,Sub-Saharan Africa,929.7266286
GIN,Guinea,Guinea,0.017,392,Guinea,Low income,Sub-Saharan Africa,296.1745763
GTM,Guetamala,Guatemala,0.114,453,Guatemala,Lower middle income,Latin America & Caribbean,2241.004062
HND,Honduras,Honduras,0.13,202,Honduras,Lower middle income,Latin America & Caribbean,1547.266659
HRV,Croatia,Croatia,0.164,42,Croatia,High income: nonOECD,Europe & Central Asia,11359.52579
HTI,Haiti,Haiti,0.03,273,Haiti,Low income,Latin America & Caribbean,505.5848205
HUN,Hungary,Hungary,0.28,99,Hungary,High income: OECD,Europe & Central Asia,11342.89055
IDN,Indonesia,Indonesia,0.068,4220,Indonesia,Lower middle income,East Asia & Pacific,1590.177906
IND,India,India,0.085,26913,India,Lower middle income,South Asia,816.7337762
IRL,Ireland,Ireland,0.262,69,Ireland,High income: OECD,Europe & Central Asia,53944.02231
IRN,Iran,"Iran, Islamic Rep.",0.419,1388,"Iran, Islamic Rep.",Upper middle income,Middle East & North Africa,3419.407445
ISL,Iceland,Iceland,0.156,5,Iceland,High income: OECD,Europe & Central Asia,56293.79023
ISR,Israel,Israel,0.191,140,Israel,High income: OECD,Middle East & North Africa,21581.71804
ITA,Italy,Italy,0.382,546,Italy,High income: OECD,Europe & Central Asia,33426.16606
JOR,Jordan,Jordan,0.185,157,Jordan,Upper middle income,Middle East & North Africa,2719.822427
JPN,Japan,Japan,0.174,1034,Japan,High income: OECD,East Asia & Pacific,34075.97895
KAZ,Kazakhstan,Kazakhstan,0.11,304,Kazakhstan,Upper middle income,Europe & Central Asia,5291.57565
KEN,Kenya,Kenya,0.04,1506,Kenya,Lower middle income,Sub-Saharan Africa,711.7211637
KGZ,Kyrgyzstan,Kyrgyz Republic,0.058,120,Kyrgyz Republic,Lower middle income,Europe & Central Asia,543.1107024
KHM,Cambodia,Cambodia,0.018,361,Cambodia,Low income,East Asia & Pacific,537.8424797
KOR,Republic of Korea,"Korea, Rep.",0.377,452,"Korea, Rep.",High income: OECD,East Asia & Pacific,20917.02989
KWT,Kuwait,Kuwait,0.112,52,Kuwait,High income: nonOECD,Middle East & North Africa,42502.22152
LBN,Lebanon,Lebanon,0.233,66,Lebanon,Upper middle income,Middle East & North Africa,5372.475056
LBR,Liberia,Liberia,0.035,145,Liberia,Low income,Sub-Saharan Africa,178.4531481
LBY,Libya,Libya,0.075,147,Libya,Upper middle income,Middle East & North Africa,9304.308502
LSO,Lesotho,Lesotho,0.051,59,Lesotho,Lower middle income,Sub-Saharan Africa,736.3911944
LTU,Lithuania,Lithuania,0.205,31,Lithuania,High income: nonOECD,Europe & Central Asia,9240.297059
LUX,Luxemburg,Luxembourg,0.24,5,Luxembourg,High income: OECD,Europe & Central Asia,88400.20327
LVA,Latvia,Latvia,0.233,23,Latvia,High income: nonOECD,Europe & Central Asia,9746.23509
MAR,Morocco,Morocco,0.054,646,Morocco,Lower middle income,Middle East & North Africa,2107.896017
MDA,Moldova,Moldova,0.119,45,Moldova,Lower middle income,Europe & Central Asia,950.6482044
MDG,Madagascar,Madagascar,0.01,687,Madagascar,Low income,Sub-Saharan Africa,292.9908976
MEX,Mexico,Mexico,0.378,2049,Mexico,Upper middle income,Latin America & Caribbean,8680.60388
MKD,Macedonia,"Macedonia, FYR",0.169,22,"Macedonia, FYR",Upper middle income,Europe & Central Asia,3351.304879
MLI,Mali,Mali,0.016,542,Mali,Low income,Sub-Saharan Africa,460.0053114
MLT,Malta,Malta,0.32,4,Malta,High income: nonOECD,Middle East & North Africa,15705.34022
MNE,Montenegro,Montenegro,0.12,115,Montenegro,Upper middle income,Europe & Central Asia,4383.595097
MNG,Mongolia,Mongolia,0.05,50,Mongolia,Upper middle income,East Asia & Pacific,1334.405712
MOZ,Mozambique,Mozambique,0.019,876,Mozambique,Low income,Sub-Saharan Africa,326.4313156
MRT,Mauritania,Mauritania,0.032,108,Mauritania,Lower middle income,Sub-Saharan Africa,937.9827017
MWI,Malawi,Malawi,0.031,599,Malawi,Low income,Sub-Saharan Africa,237.6982592
NAM,Namibia,Namibia,0.127,59,Namibia,Upper middle income,Sub-Saharan Africa,3884.646834
NER,Niger,Niger,0.01,791,Niger,Low income,Sub-Saharan Africa,260.56377
NGA,Nigeria,Nigeria,0.018,6028,Nigeria,Lower middle income,Sub-Saharan Africa,1014.734742
NIC,Nicaragua,Nicaragua,0.206,140,Nicaragua,Lower middle income,Latin America & Caribbean,1245.142095
NLD,Netherlands,Netherlands,0.135,185,Netherlands,High income: OECD,Europe & Central Asia,44011.28267
NOR,Norway,Norway,0.166,58,Norway,High income: OECD,Europe & Central Asia,74114.69715
NPL,Nepal,Nepal,0.027,732,Nepal,Low income,South Asia,350.608465
NZL,New Zealand,New Zealand,0.204,58,New Zealand,High income: OECD,East Asia & Pacific,26630.35668
OMN,Oman,Oman,0.066,61,Oman,High income: nonOECD,Middle East & North Africa,14575.1604
PAK,Pakistan,Pakistan,0.073,5337,Pakistan,Lower middle income,South Asia,876.9511089
PAN,Panama,Panama,0.182,70,Panama,Upper middle income,Latin America & Caribbean,5072.219262
PER,Peru,Peru,0.241,609,Peru,Upper middle income,Latin America & Caribbean,3143.580588
PHL,Philippines,Philippines,0.095,2236,Philippines,Lower middle income,East Asia & Pacific,1395.213381
POL,Poland,Poland,0.161,372,Poland,High income: OECD,Europe & Central Asia,8999.739627
PRT,Portugal,Portugal,0.34,105,Portugal,High income: OECD,Europe & Central Asia,19821.44284
PRY,Paraguay,Paraguay,0.322,154,Paraguay,Upper middle income,Latin America & Caribbean,1809.724779
QAT,Qatar,Qatar,0.159,15,Qatar,High income: nonOECD,Middle East & North Africa,61593.67297
ROU,Romania,Romania,0.236,214,Romania,Upper middle income,Europe & Central Asia,5789.209787
RUS,Russia,Russian Federation,0.18,1545,Russian Federation,High income: nonOECD,Europe & Central Asia,6920.194398
RWA,Rwanda,Rwanda,0.029,403,Rwanda,Low income,Sub-Saharan Africa,336.942281
SAU,Saudi Arabia,Saudi Arabia,0.13,591,Saudi Arabia,High income: nonOECD,Middle East & North Africa,14826.9167
SDN,Sudan,Sudan,0.037,1296,Sudan,Lower middle income,Sub-Saharan Africa,868.3094475
SEN,Senegal,Senegal,0.033,470,Senegal,Lower middle income,Sub-Saharan Africa,808.2884239
SLE,Sierra Leone,Sierra Leone,0.015,223,Sierra Leone,Low income,Sub-Saharan Africa,359.5337138
SLV,El Salvador,El Salvador,0.25,124,El Salvador,Lower middle income,Latin America & Caribbean,3108.592529
SRB,Serbia,Serbia,0.169,8,Serbia,Upper middle income,Europe & Central Asia,4129.758741
SVK,Slovakia,Slovak Republic,0.2,55,Slovak Republic,High income: OECD,Europe & Central Asia,13111.77166
SVN,Slovenia,Slovenia,0.168,19,Slovenia,High income: OECD,Europe & Central Asia,19726.13825
SWE,Sweden,Sweden,0.173,107,Sweden,High income: OECD,Europe & Central Asia,46256.4716
SWZ,Swaziland,Swaziland,0.079,35,Swaziland,Lower middle income,Sub-Saharan Africa,2636.320016
SYR,Syria,Syrian Arab Republic,0.15,590,Syrian Arab Republic,Lower middle income,Middle East & North Africa,1779.821049
TCD,Chad,Chad,0.004,498,Chad,Low income,Sub-Saharan Africa,712.0468098
TGO,Togo,Togo,0.02,213,Togo,Low income,Sub-Saharan Africa,384.2885486
THA,Thailand,Thailand,0.174,977,Thailand,Upper middle income,East Asia & Pacific,3129.437533
TJK,Tajikistan,Tajikistan,0.021,193,Tajikistan,Lower middle income,Europe & Central Asia,407.2526117
TKM,Turkmenistan,Turkmenistan,0.038,111,Turkmenistan,Upper middle income,Europe & Central Asia,2140.455472
TUN,Tunisia,Tunisia,0.08,164,Tunisia,Upper middle income,Middle East & North Africa,3394.365224
TUR,Turkey,Turkey,0.212,1348,Turkey,Upper middle income,Europe & Central Asia,7727.272405
TZA,Tanzania,Tanzania,0.032,1771,Tanzania,Low income,Sub-Saharan Africa,479.7036584
UGA,Uganda,Uganda,0.031,1466,Uganda,Low income,Sub-Saharan Africa,342.837264
UKR,Ukraine,Ukraine,0.142,459,Ukraine,Lower middle income,Europe & Central Asia,2303.018831
URY,Uruguay,Uruguay,0.318,50,Uruguay,High income: nonOECD,Latin America & Caribbean,5877.879608
USA,United States,United States,0.303,4399,United States,High income: OECD,North America,46437.06712
UZB,Uzbekistan,Uzbekistan,0.063,553,Uzbekistan,Lower middle income,Europe & Central Asia,642.9604146
VEN,Venezuela,"Venezuela, RB",0.251,599,"Venezuela, RB",High income: nonOECD,Latin America & Caribbean,6740.236779
VNM,VietNam,Vietnam,0.099,1494,Vietnam,Lower middle income,East Asia & Pacific,796.6715738
YEM,Yemen,"Yemen, Rep.",0.014,846,"Yemen, Rep.",Lower middle income,Middle East & North Africa,904.6056001
ZAF,South Africa,South Africa,0.206,1091,South Africa,Upper middle income,Sub-Saharan Africa,5660.116974
ZMB,Zambia,Zambia,0.03,542,Zambia,Lower middle income,Sub-Saharan Africa,1030.31536
ZWE,Zimbabwe,Zimbabwe,0.048,378,Zimbabwe,Low income,Sub-Saharan Africa,414.6801151
